name;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Långhag;275000;49000;2;Kaplan;Ovanjordsanläggning;13;480;317;117;Dalälven;Solvarbo;Säters;Dalarnas;60.39640;15.71401
Ljunga;270000;59000;2;Francis;Underjordsanläggning;53;145;76;;Ljungan;Ljungaverk;Ånge;Västernorrlands;62.50166;16.01839
Gejmån;265000;65700;1;Francis;Ovanjordsanläggning;250.5;29;13.8;9;Umeälven;Storuman;Storumans;Västerbottens;65.57209;15.18169
Selsforsen;260000;62000;2;Kaplan;Nedgrävd anläggning;22.2;300;;;Skellefteälven;Skellefteå;Skellefteå;Västerbottens;64.74146;20.63252
Stensele;259704;64000;1;Kaplan;Ovanjordsanläggning;19.3;310;188;;Umeälven;Storuman;Storumans;Västerbottens;65.05475;17.23223
Trångforsen;258000;73000;1;Francis;Underjordsanläggning;81;115;42;20;Ljungan;Åsarna;Bergs;Jämtlands;62.60869;14.30718
Långströmmen;255000;52000;2;Kaplan;Underjordsanläggning;31;180;131;;Ljusnan;Ytterhogdal;Härjedalens;Jämtlands;62.11126;15.00389
Untra;250000;42000;5;Francis;Ovanjordsanläggning;14;420;339;;Dalälven;Mehedeby;Tierps;Uppsala;60.43903;17.33901
Ljusne Strömmar;245000;36400;2;Kaplan;Ovanjordsanläggning;16;240;233;;Ljusnan;Ljusne;Söderhamns;Gävleborgs;61.21242;17.08181
Finnforsen;240000;44000;2;2 st Kaplan;Ovanjordsanläggning;20.7;300;174;;Skellefteälven;Boliden;Skellefteå;Västerbottens;64.79176;20.33505
Pengfors;240000;52000;3;Kaplan;Ovanjordsanläggning;15.5;450;237;;Umeälven;Vännäs;Vännäs;Västerbottens;63.93020;19.66208
Rätan;238000;60000;2;Francis;Underjordsanläggning;61;125;51;;Ljungan;Rätan;Bergs;Jämtlands;62.48925;14.62541
Skedvi;235000;38000;2;Kaplan;Ovanjordsanläggning;11;440;320;;Dalälven;Stora Skedvi;Säters;Dalarnas;60.39440;15.84415
Stenkullafors;235000;58000;1;Kaplan;Ovanjordsanläggning;24;285;141;;Ångermanälven;Åsele;Åsele;Västerbottens;64.28757;17.24534
Bullerforsen;229000;47000;2;Kaplan;Ovanjordsanläggning;12.2;500;276;;Dalälven;Borlänge;Borlänge;Dalarnas;60.50910;15.43808
Randi;226680;85000;1;Kaplan;Ovanjordsanläggning;25;485;128;98;Luleälven;Klubbudden;Jokkmokks;Norrbottens;66.70907;19.53330
Lanforsen;215000;44000;4;Kaplan;Ovanjordsanläggning;10;620;342;;Dalälven;Älvkarleö;Älvkarleby;Uppsala;60.53081;17.41603
Forsse;210000;52000;2;Kaplan;Ovanjordsanläggning;20;300;166;;Faxälven;Långsele;Sollefteå;Västernorrlands;63.15432;17.02055
Lilla Edet;210000;43000;4;1 Kaplan, 1 Semikaplan, 1 Lawaczeck, 1 Rörkaplan;1 Turbin underjord, resten ovan jord;7.3;842;;;Göta älv;Lilla Edet;Lilla Edets;Västra Götalands;58.13714;12.12082
